Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,298,16,T:System.Data.SqlClient.SqlDataReader,,,,,"using (var r = cmd.ExecuteReader())                      while (r.Read())                      {                          int gp = r.GetInt32(r.GetOrdinal(""GamesPlayed""));                          int tp = r.GetInt32(r.GetOrdinal(""TotalPoints""));                          int te = r.GetInt32(r.GetOrdinal(""TotalErrors""));                          list.Add(new PlayerSummary                          {                              PlayerId = r.GetInt32(0),                              Name = r.GetString(1),                              JerseyNumber = r.GetInt32(2),                              Position = r.IsDBNull(3) ? """" : r.GetString(3),                              GamesPlayed = gp,                              TotalPoints = tp,                              TotalErrors = te,                              AvgPoints = gp > 0 ? Math.Round((double)tp / gp, 1) : 0,                              AvgErrors = gp > 0 ? Math.Round((double)te / gp, 1) : 0                          });                      }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,298,16,M:System.Data.SqlClient.SqlCommand.ExecuteReader,,,,,"using (var r = cmd.ExecuteReader())                      while (r.Read())                      {                          int gp = r.GetInt32(r.GetOrdinal(""GamesPlayed""));                          int tp = r.GetInt32(r.GetOrdinal(""TotalPoints""));                          int te = r.GetInt32(r.GetOrdinal(""TotalErrors""));                          list.Add(new PlayerSummary                          {                              PlayerId = r.GetInt32(0),                              Name = r.GetString(1),                              JerseyNumber = r.GetInt32(2),                              Position = r.IsDBNull(3) ? """" : r.GetString(3),                              GamesPlayed = gp,                              TotalPoints = tp,                              TotalErrors = te,                              AvgPoints = gp > 0 ? Math.Round((double)tp / gp, 1) : 0,                              AvgErrors = gp > 0 ? Math.Round((double)te / gp, 1) : 0                          });                      }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,288,16,T:System.Data.SqlClient.SqlCommand,,,,,"var cmd = new SqlCommand(@""                      SELECT p.Id, p.Name, p.JerseyNumber, p.Position,                             COUNT(s.Id) AS GamesPlayed,                             COALESCE(SUM(s.Points),0) AS TotalPoints,                             COALESCE(SUM(s.Errors),0) AS TotalErrors                      FROM Players p                      LEFT JOIN PlayerGameStats s ON p.Id = s.PlayerId                      WHERE p.IsActive = 1                      GROUP BY p.Id, p.Name, p.JerseyNumber, p.Position                      ORDER BY p.JerseyNumber"", conn);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,288,16,"M:System.Data.SqlClient.SqlCommand.#ctor(System.String,System.Data.SqlClient.SqlConnection)",,,,,"var cmd = new SqlCommand(@""                      SELECT p.Id, p.Name, p.JerseyNumber, p.Position,                             COUNT(s.Id) AS GamesPlayed,                             COALESCE(SUM(s.Points),0) AS TotalPoints,                             COALESCE(SUM(s.Errors),0) AS TotalErrors                      FROM Players p                      LEFT JOIN PlayerGameStats s ON p.Id = s.PlayerId                      WHERE p.IsActive = 1                      GROUP BY p.Id, p.Name, p.JerseyNumber, p.Position                      ORDER BY p.JerseyNumber"", conn);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,287,16,M:System.Data.SqlClient.SqlConnection.Open,,,,,conn.Open();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,285,12,T:System.Data.SqlClient.SqlConnection,,,,,"using (var conn = GetConnection())              {                  conn.Open();                  var cmd = new SqlCommand(@""                      SELECT p.Id, p.Name, p.JerseyNumber, p.Position,                             COUNT(s.Id) AS GamesPlayed,                             COALESCE(SUM(s.Points),0) AS TotalPoints,                             COALESCE(SUM(s.Errors),0) AS TotalErrors                      FROM Players p                      LEFT JOIN PlayerGameStats s ON p.Id = s.PlayerId                      WHERE p.IsActive = 1                      GROUP BY p.Id, p.Name, p.JerseyNumber, p.Position                      ORDER BY p.JerseyNumber"", conn);                  using (var r = cmd.ExecuteReader())                      while (r.Read())                      {                          int gp = r.GetInt32(r.GetOrdinal(""GamesPlayed""));                          int tp = r.GetInt32(r.GetOrdinal(""TotalPoints""));                          int te = r.GetInt32(r.GetOrdinal(""TotalErrors""));                          list.Add(new PlayerSummary                          {                              PlayerId = r.GetInt32(0),                              Name = r.GetString(1),                              JerseyNumber = r.GetInt32(2),                              Position = r.IsDBNull(3) ? """" : r.GetString(3),                              GamesPlayed = gp,                              TotalPoints = tp,                              TotalErrors = te,                              AvgPoints = gp > 0 ? Math.Round((double)tp / gp, 1) : 0,                              AvgErrors = gp > 0 ? Math.Round((double)te / gp, 1) : 0                          });                      }              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,278,16,M:System.Data.SqlClient.SqlCommand.ExecuteNonQuery,,,,,cmd.ExecuteNonQuery();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,277,16,T:System.Data.SqlClient.SqlParameterCollection,,,,,"cmd.Parameters.AddWithValue(""@min"", s.MinutesPlayed);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,277,16,P:System.Data.SqlClient.SqlCommand.Parameters,,,,,"cmd.Parameters.AddWithValue(""@min"", s.MinutesPlayed);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,277,16,T:System.Data.SqlClient.SqlParameter,,,,,"cmd.Parameters.AddWithValue(""@min"", s.MinutesPlayed);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,277,16,"M:System.Data.SqlClient.SqlParameterCollection.AddWithValue(System.String,System.Object)",,,,,"cmd.Parameters.AddWithValue(""@min"", s.MinutesPlayed);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,276,16,T:System.Data.SqlClient.SqlParameterCollection,,,,,"cmd.Parameters.AddWithValue(""@reb"", s.Rebounds);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,276,16,P:System.Data.SqlClient.SqlCommand.Parameters,,,,,"cmd.Parameters.AddWithValue(""@reb"", s.Rebounds);"
